Date,Concert,Titre tournée / Concert,Première partie / Invité
8 juin 2018,Drapeau du Royaume-Uni Roger Waters,Us + Them,-
9 juin 2018,Drapeau du Royaume-Uni Roger Waters,Us + Them,-
24 août 2018,Drapeau des États-Unis Kendrick Lamar Drapeau des États-Unis N*E*R*D Drapeau de la France IAM Drapeau des États-Unis Brockhampton,Paris Summer Jam,-
13 octobre 2018,Drapeau de la France Booba,-,-
28 novembre 2018,Drapeau du Royaume-Uni Paul McCartney,Freshen Up,-
11 mai 2019,Drapeau de la France Kassav',40 ans,Le Grand Méchant Zouk
7 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
8 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
11 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
12 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
14 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
15 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,-
18 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,Sting
19 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,
22 juin 2019,Drapeau de la France Mylène Farmer,Mylène Farmer 2019,
28 juin 2019,Drapeau de l'Allemagne Rammstein,Rammstein Stadium Tour,Duo Játékok
29 juin 2019,Drapeau de l'Allemagne Rammstein,Rammstein Stadium Tour,Duo Játékok
3 juillet 2019,Drapeau des États-Unis P!NK,Beautiful Trauma World Tour,-
21 septembre 2019,Drapeau de la France Soprano,Phoenix Tour,-
26 octobre 2019,Drapeau de la France Bigflo et Oli,La nuit de rêve,Fabian Ordoñez Berywam
6 décembre 2019,Drapeau de la France Patrick Bruel,Ce soir on sort...,Boulevard des Airs Claudio Capéo Erza Muqoli Les Frangines Slimane Vianney
7 décembre 2019,Drapeau de la France Patrick Bruel,Ce soir on sort...,Boulevard des Airs Claudio Capéo Erza Muqoli Les Frangines Slimane Vianney
22 février 2020,Drapeau de la France DJ Snake,-,Dirty Swift Vladimir Cauchemar
3 septembre 2021,Drapeau de la France Amel Bent Drapeau de la France Amir Drapeau de la France Clara Luciani Drapeau de la France Eva Queen Drapeau de la république démocratique du Congo GIMS Drapeau de la France Grand Corps Malade Drapeau de la France Kungs Drapeau de la France M. Pokora Drapeau de la France Soprano Drapeau de la France Vitaa & Slimane,NRJ Music Tour,-
16 mars 2022,Drapeau du Royaume-Uni Genesis,The Last Domino? Tour,-
17 mars 2022,Drapeau du Royaume-Uni Genesis,The Last Domino? Tour,-
19 mars 2022,Drapeau de l'Allemagne Ben Klock & Marcel Dettmann,Visiv,-
14 mai 2022,Drapeau de la France Sexion d'Assaut,La Tournée Evenement,-
15 mai 2022,Drapeau de la France Sexion d'Assaut,La Tournée Evenement,-
11 juin 2022,Drapeau du Royaume-Uni Elton John,The Final Farewell Yellow Brick Road,-
12 juin 2022,Drapeau du Royaume-Uni Elton John,The Final Farewell Yellow Brick Road,-
26 juin 2022,Drapeau du Royaume-Uni Iron Maiden,Legacy of the Beast World Tour,Airbourne Lord of the Lost
2 juillet 2022,Drapeau des États-Unis Green Day Drapeau des États-Unis Fall Out Boy Drapeau des États-Unis Weezer,The Hella Mega Tour,Amyl and the Sniffers
10 septembre 2022,Drapeau de la France Ninho,Jefe Tour,Alonzo Leto Niska Rim'K Vegedream
2 décembre 2022,Drapeau de la Belgique Angèle,Nonante-Cinq Tour,Bianca Costa Damso
3 décembre 2022,Drapeau de la Belgique Angèle,Nonante-Cinq Tour,Lujipeka
8 décembre 2022,Drapeau de la France Orelsan,Civilisation Tour,Alpha Wann Vald
9 décembre 2022,Drapeau de la France Orelsan,Civilisation Tour,Gazo
10 décembre 2022,Drapeau de la France Orelsan,Civilisation Tour,Gringe Jonathan Cohen
17 décembre 2022,Drapeau de la France Vitaa & Slimane,VersuS Tour,Amel Bent Camille Schneyder Sola
24 mars 2023,Drapeau du Canada Michael Bublé,Higher Tour 2023,-
2 avril 2023,Drapeau de l'Inde Yuvan Shankar Raja,Live in Europe,-
8 avril 2023,Drapeau de la Corée du Sud AB6IX Drapeau de la Corée du Sud Enhypen Drapeau de la Corée du Sud Stray Kids,Music Bank,-
13 mai 2023,Drapeau des États-Unis Bruce Springsteen & E Street Band,2023 Tour,-
15 mai 2023,Drapeau des États-Unis Bruce Springsteen & E Street Band,2023 Tour,-
20 mai 2023,Drapeau du Nigeria Burna Boy,"Love, Damini Stadium Tour",Aris Dj Dj Billy Dj Lambo Dj Meryl Dj Peet
10 juin 2023,Drapeau de la France M. Pokora,Epicentre Tour,Dadju Vitaa
20 juin 2023,Drapeau des États-Unis P!NK,Summer Carnival 2023,GAYLE KidCutUp The Script
21 juin 2023,Drapeau des États-Unis P!NK,Summer Carnival 2023,GAYLE KidCutUp The Script
23 juin 2023,Drapeau du Royaume-Uni The Who,Hits Back!,The Arrogants
29 juin 2023,Drapeau des États-Unis Maroon 5,UK + Europe 2023,GUNNAR Mailbox
13 juillet 2023,Drapeau des États-Unis Guns N' Roses,Europe 2023,Generation Sex
22 août 2023,Drapeau des États-Unis Imagine Dragons,Mercury World Tour,AJR
23 août 2023,Drapeau des États-Unis Imagine Dragons,Mercury World Tour,Mother Mother
5 octobre 2023,Drapeau de la France Taratata,Concert évènement,-
15 octobre 2023,Drapeau de la Corée du Sud Ateez Drapeau de la Corée du Sud Dreamcatcher Drapeau de la Corée du Sud NCT Dream Drapeau de la Corée du Sud PSY Drapeau de la Corée du Sud Shownu & Hyungwon Drapeau de la Corée du Sud Taemin Drapeau de la Corée du Sud Treasure Drapeau de la Corée du Sud Zerobaseone,M CountDown,-
28 octobre 2023,Drapeau de la Corse Corsu Mezu Mezu,Corsu 2,-
3 novembre 2023,Drapeau des États-Unis 50 Cent,The Final Lap Tour 2023,Busta Rhymes Jeremih
11 novembre 2023,Drapeau de la France Disney,Le concert évènement,-
12 novembre 2023,Drapeau de la France Disney,Le concert évènement,-
25 novembre 2023,Drapeau de la république démocratique du Congo Fally Ipupa,-,Aya Nakamura Dadju KeBlack Naza SDM Tayc
8 décembre 2023,Drapeau de la France Bigflo et Oli,Le Grand Tour,Fabian Ordoñez Wawad
13 janvier 2024,Drapeau de Taïwan Jay Chou,Carnival World Tour,-
9 mars 2024,Drapeau de la France Calogero,A.M.O.U.R Tour,Gaëtan Roussel Jean-Louis Aubert Marie Poulain Passi
16 mars 2024,Drapeau de la France Michel Sardou,Je me souviens d'un adieu,-
17 mars 2024,Drapeau de la France Michel Sardou,Je me souviens d'un adieu,-
6 avril 2024,Drapeau du Japon Joe Hisaishi,Concert Symphonique,-
7 avril 2024,Drapeau du Japon Joe Hisaishi,Concert Symphonique,-
13 avril 2024,Drapeau des États-Unis Anyma Drapeau du Royaume-Uni Argy Drapeau de l'Italie Tale of Us,AfterLife,-
20 avril 2024,Drapeau des États-Unis Black Eyed Peas,Elevation World Tour,Dj Youcef Sandara Park
9 mai 2024,Drapeau des États-Unis Taylor Swift,The Eras Tour,Paramore
10 mai 2024,Drapeau des États-Unis Taylor Swift,The Eras Tour,Paramore
11 mai 2024,Drapeau des États-Unis Taylor Swift,The Eras Tour,Paramore
12 mai 2024,Drapeau des États-Unis Taylor Swift,The Eras Tour,Paramore
3 novembre 2024,Drapeau des États-Unis Linkin Park,From Zero World Tour,Sleep Token
23 novembre 2024,Drapeau du Canada Sum 41,Tour of the Setting Sum,Neck Deep Dynamite Shakers
30 novembre 2024,Drapeau de la France Tayc,-,Warren Saada
1 er décembre 2024,Drapeau de la France Tayc,-,Warren Saada
4 décembre 2024,Drapeau du Royaume-Uni Paul McCartney,Got Back,-
