Date,Concert,Tournée,Première partie / Invités,Affluence [ 127 ]
26/06/2018,Drapeau du Royaume-Uni Rolling Stones,No Filter Tour,The Glorious Sons,53 409
30/06/2018,Drapeau de la France Summer Festival,,,15 000 [ 138 ]
08/07/2019,Drapeau du Royaume-Uni Muse,Simulation Theory World Tour,,55 330
11/10/2019,Drapeau de la France Soprano,Simulation Theory World Tour,,55 330
12/10/2019,Drapeau de la France Soprano,,,
04/09/2021,Drapeau de la France Drapeau de l'Algérie Soso Maness,,,2 000 [ 140 ]
04/06/2022,Drapeau de la France Jul,,Moubarak / Houari / Morad / Alonzo / Naps / Sch / Kofs / Soso Maness / Elams / Solda,52 000 [ 141 ]
11/06/2022,Drapeau de la France Indochine,Central Tour,,59 400 [ 142 ]
18/06/2022,Drapeau de la France Soprano,Central Tour,,Chasseur d'étoiles Tour
19/06/2022,Drapeau de la France Soprano,,,
11/06/2023,Drapeau des États-Unis Beyoncé,Renaissance World Tour,,56 352
08/07/2023,Drapeau de la France Mylène Farmer,Nevermore 2023/2024,,50 000 [ 144 ]
15/07/2023,Drapeau du Royaume-Uni Muse,Will of the People World Tour,Royal Blood One Ok Rock,50 000
22/07/2023,Drapeau de la France SCH,,Jul / Kofs / Naps / Soso Maness / Elams / Solda / Houari / Unknown T / Sofiane Pamart / PLK / Hamza,53 400 [ 145 ]
08/06/2024,Drapeau de l'Allemagne Rammstein,Rammstein Stadium Tour,,53 000
23/05/2025,,Drapeau de la France Jul,,Gim's / PLK / SDM /
24/05/2025,,,73 158 [ 147 ],
31/05/2025,Drapeau des États-Unis Bruce Springsteen,Land of Hope and Glory tour,,61 613 [ 148 ]
06/06/2025,Drapeau des États-Unis Bruce Springsteen,Land of Hope and Glory tour,,Drapeau du Royaume-Uni Ed Sheeran
07/06/2025,60 000,,,
21/06/2025,Drapeau de la France David Guetta,The Monolith Tour,Black Eyed Peas / Themba / John Summit,65 000 [ 150 ]
28/06/2025,Drapeau de la France IAM,,L'Algérino / Alonzo / Arsenik / Bouga / Djibril Cissé / Wallen / Sébastien Damiani / Faf Larage / Kalash / Le Rat Luciano / Stomy Bugsy / Cut Killer / Khaled,55 000 [ 151 ]
19/07/2025,Drapeau de la France Drapeau des Comores Alonzo,,,59 254 [ 152 ]
11/10/2025,Drapeau de la France Soprano,Freedom Tour,,
23/05/2026,Drapeau de la France Corsu Mezu Mezu,,,
29/05/2026,Drapeau de la France Corsu Mezu Mezu,Drapeau de la France Jul,,
30/05/2026,,,,
06/06/2026,Drapeau de la France Drapeau des Comores Alonzo,,,
01/07/2026,Drapeau de Porto Rico Bad Bunny,Debí Tirar Más Fotos World Tour,,
