Date,Concert
"nov. 15, 2018",Stars 80
"Jun 25, 2018",Shakira / Salva Setlists
"Apr 09, 2018",Imagine Dragons / K.Flay Setlists
"Mar 24, 2018",Calogero
"Mar 11, 2018",Fast
"Mar 10, 2018",Fast Setlists
"Mar 09, 2018",Fast
"Mar 03, 2018",Indochine / Requin Chagrin Setlists
"Mar 02, 2018",Indochine / Requin Chagrin
"Dec 10, 2019",‐M‐ Le Grand Petit Concert Setlists
"Dec 07, 2019",Pierre / Cali / Constance Wolter / Demi-portion / Ayo
"nov. 16, 2019",M. Pokora / Philippine Lavrey
"Jun 16, 2019",Kendji Girac
"Apr 13, 2019",Kids United
"Mar 31, 2019",soprano
"Mar 30, 2019",Shawn Mendes / Alessia Cara Shawn Mendes The Tour Videos Photos Setlists
"Mar 26, 2019",Patrick Bruel
"Mar 24, 2019",GIMS Fuego Tour
"nov. 25, 2020",IAM
"Feb 24, 2020",Jonas Brothers / Picture This Happiness begin Videos Photos
"Feb 18, 2020",Jonas Brothers / Picture This / Jordan McGraw Videos Photos Setlists
"Jan 18, 2020",Bigflo & Oli La vie de rêve tour Setlists
"Dec 14, 2022",‐M‐ En rêvalité
"nov. 29, 2022",Orelsan ORELSAN TOUR
"nov. 25, 2022",Vitaa & Slimane / Vitaa / Slimane
"nov. 16, 2022",Dadju
"nov. 08, 2022",The Cure / The Twillight Sad Photos Setlists
"oct. 27, 2022",Angèle / Lujipeka Nonante-cinq tour Videos Photos Setlists
"oct. 15, 2022",50 Cent
"oct. 07, 2022",Sting Setlists
"Jun 16, 2022",ERIC FLores
"May 27, 2022",Sexion d'Assaut
"Apr 30, 2022",Ninho
"Apr 01, 2022",Julien Doré Setlists
"Mar 12, 2022",Vianney
"Mar 11, 2022",Maluma Photos
"Dec 08, 2023",Shaka Ponk / SUN Brutal Pop Setlists
"nov. 18, 2023",M. Pokora
"nov. 11, 2023",Michel Sardou
"oct. 22, 2023",Bigflo & Oli Le grand tour
"May 07, 2023",Hans Zimmer
"Apr 30, 2023",STARMANIA
"Apr 29, 2023",STARMANIA
"Apr 28, 2023",STARMANIA
"Apr 27, 2023",STARMANIA
"Apr 14, 2023",Florence Foresti
"Apr 06, 2023",Lomepal
"Feb 25, 2023",soprano Photos
"Jan 19, 2023",Clara Luciani / Ehla Respire encore tour
"Jan 11, 2023",Disney on Ice: Mickey's Search Party
"Jan 10, 2023",Disney on Ice: Mickey's Search Party
"Dec 08, 2024",STARMANIA
"Dec 07, 2024",STARMANIA
"Dec 06, 2024",STARMANIA
"Dec 05, 2024",STARMANIA
"nov. 15, 2024",Slimane SLIMANE
"nov. 09, 2024",Stars 80 / Encore
"Sep 14, 2024",Dadju / Tayc Dadju & Tayc
"Sep 13, 2024",Dadju / Tayc Dadju & Tayc
"May 23, 2024",Patrick Bruel Setlists
"Mar 01, 2024",Grand Corps Malade
"Feb 16, 2024",Ninho
"Jan 20, 2024",Calogero Calogero @ SUD DE FRANCE ARENA Setlists
"Jan 17, 2024",Disney on Ice: Dream Big
"Jan 16, 2024",Disney on Ice: Dream Big
"Dec 20, 2025",Helena Photos
"Dec 10, 2025",Maitre Gims GIMS at Sud de France Arena Setlists
"Dec 09, 2025",Maitre Gims GIMS at Sud de France Arena Setlists
"Dec 06, 2025",Julien Doré
"Dec 05, 2025",M. Pokora
"Dec 04, 2025",soprano SOPRANO
"nov. 06, 2025",GAZO
"oct. 11, 2025",Sting Setlists
"oct. 01, 2025",‐M‐ Lamomali Tour
"May 24, 2025",Star Academy
"Apr 26, 2025",Pierre Garnier Photos
"Apr 12, 2025",La Haine
"Apr 11, 2025",La Haine
"Mar 28, 2025",Clara Luciani / The Songwriters CLARA LUCIANI
"Mar 22, 2025",Indochine Setlists
"Mar 21, 2025",Indochine Setlists
"Mar 19, 2025",Indochine Setlists
"Mar 18, 2025",Indochine Setlists
"Mar 15, 2025",Julien Dore JULIEN DORE
"Feb 22, 2025",Sdm SDM
"Jan 20, 2025",Les Enfoirés
"Jan 19, 2025",Les Enfoirés Photos Setlists
"Jan 18, 2025",Les Enfoirés
"Jan 17, 2025",Les Enfoirés
"Jan 15, 2025",Les Enfoirés
"Jan 14, 2025",Les Enfoirés
