Date,Concert
"Dec 20, 2018",Stars 80 Stars 80 Triomphe
"Dec 05, 2018",Indochine 13 Tour Setlists
"nov. 25, 2018",Vald
"nov. 23, 2018",Kyo / Diva Faune
"nov. 20, 2018",Orelsan Setlists
"nov. 17, 2018",Bénabar Le Début de la Suite Setlists
"nov. 16, 2018",Columbine / Isha / Le Motel / Lord Esperanza / Salut c'est cool / Therapie Taxi Is this Fresh
"nov. 15, 2018",MC Solaar Mc solaar Setlists
"nov. 12, 2018",Marc Lavoine
"oct. 20, 2018",Hubert-Félix Thiéfaine / The Gluteens Videos Setlists
"oct. 18, 2018",Bigflo & Oli / Berywam La vraie vie Setlists
"oct. 12, 2018",Julien Clerc
"oct. 11, 2018",Brigitte
"oct. 07, 2018",Guns N’ Roses Expérience Legends of Rock Setlists
"Jul 25, 2018",Lenny Kravitz Setlists
"Jun 16, 2018",Moodoïd Is This Pop
"May 27, 2018",Doc Gynéco / Stomy Bugsy / Pit Baccardi / Mc Janik / Arsenik / Singuila
"May 24, 2018",Louane Louane LIVE Photos
"May 23, 2018",Indochine / Grand Blanc 13 Tour Setlists
"May 22, 2018",Indochine / Grand Blanc Setlists
"May 19, 2018",Elsa Gilles Liberté Chérie Tour
"May 18, 2018",Calogero
"May 05, 2018",Stars 80
"Apr 30, 2018",DJ Mathematic
"Apr 28, 2018",Walk Off The Earth
"Apr 23, 2018",Joe Satriani / Uli Jon Roth / John Petrucci Setlists
"Apr 21, 2018",G3 / Joe Satriani / John Petrucci / Uli Jon Roth Setlists
"Apr 15, 2018",Keen'V
"Apr 13, 2018",Bernard Lavilliers
"Mar 25, 2018",Kids United
"Mar 23, 2018",MHD
"Mar 22, 2018",Bigflo & Oli / Berywam / Temper La vraie vie Setlists
"Mar 18, 2018",Paradis Artificiels Festival / Vald / Romeo Elvis / Le 77 Paradis Artificiels Festival
"Mar 17, 2018",Paradis Artificiels Festival / Synapson / Rone / Klingande / Les Gordon Paradis Artificiels Festival
"Mar 16, 2018",Slimane
"Mar 15, 2018",Toto Setlists
"Mar 14, 2018",The Australian Pink Floyd Show
"Mar 13, 2018",Orelsan La fête est finie Setlists
"Mar 12, 2018",Orelsan / Phazz
"Feb 28, 2018",Soy Luna Setlists
"Feb 23, 2018",Rag’n’Bone Man Grande Reserve Setlists
"Feb 22, 2018",Lacrim
"Feb 19, 2018",Florent Pagny
"Feb 16, 2018",Claudio Capeo
"Feb 06, 2018",Charles Aznavour
"Jan 20, 2018",ALB Deux Tour Setlists
"Dec 20, 2019",M. Pokora / Philippine Lavrey Pyramide Tour
"Dec 19, 2019",M. Pokora / Philippine Lavrey
"Dec 15, 2019",Mika Revelation Tour Setlists
"Dec 14, 2019",Benny B / Black Box
"Dec 13, 2019",Koba LaD
"Dec 07, 2019",Saez Setlists
"Dec 06, 2019",ERA Setlists
"Dec 05, 2019",‐M‐ Le Grand Petit Concert
"Dec 03, 2019",Lomepal Setlists
"nov. 24, 2019",Aya Nakamura
"nov. 22, 2019",Claudio Capeo
"nov. 21, 2019",Rilès
"nov. 16, 2019",Stars 80 Stars 80 Triomphe
"nov. 10, 2019",Romeo Elvis / Tessa B
"nov. 08, 2019",Pascal Obispo
"nov. 07, 2019",Véronique Sanson
"oct. 26, 2019",Kassav'
"oct. 20, 2019",Sting Setlists
"oct. 19, 2019",Ibrahim Maalouf
"Sep 20, 2019",‐M‐ Taratata 100% Live Setlists
"Jun 23, 2019",Shy’m Agape tour Photos Setlists
"Jun 14, 2019",Ninho Setlists
"May 23, 2019",‐M‐ Le Grand Petit Concert Setlists
"May 22, 2019",‐M‐ Le Grand Petit Concert
"May 17, 2019",Jain Setlists
"May 11, 2019",Angèle / Julien Granel Brol Tour Setlists
"May 10, 2019",Back to Basic / Gioli & Assia / Nuttea
"Apr 27, 2019",Jenifer Setlists
"Apr 13, 2019",Stars 80 Stars 80 Triomphe
"Mar 31, 2019",PLK / Georgio / Caballero & JeanJass Paradis Artificiels
"Mar 30, 2019",Weekend Affair / Bagarre / Clara Luciani / Jeanne Added / Kiddy Smile
"Mar 29, 2019",Triggerfinger Les Paradis Artificiels Setlists
"Mar 18, 2019",Amel Bent / Léa Castel / Tibz / Madame Monsieur Une nuit à Makala
"Mar 16, 2019",Kendji Girac Setlists
"Mar 15, 2019",Zaz Setlists
"Mar 09, 2019",Shaka Ponk Setlists
"Mar 08, 2019",Eddy de Pretto
"Mar 03, 2019",Amir Setlists
"Mar 01, 2019",Gospel Pour 100 Voix
"Feb 27, 2019",Patrick Bruel
"Feb 26, 2019",Patrick Bruel
"Feb 15, 2019",MIKA Setlists
"Feb 08, 2019",Calogero Setlists
"Feb 02, 2019",Lomepal
"Jan 27, 2019",Kids United
"Jan 08, 2019",Rock Legends Festival / One Night of Queen / Letz Zep / The Doors Alive
"nov. 12, 2020",Queen Symphonic
"oct. 29, 2020",Boris / Samantha Fox / Michael Jones / Leee John / Caroline Loeb
"oct. 21, 2020",Dadju
"oct. 03, 2020",Mister V / Offsale
"Jun 26, 2020",Maitre Gim's
"Jun 25, 2020",Maitre Gim's
"Jun 17, 2020",Boris / Samantha Fox / Michael Jones / Leee John / Caroline Loeb
"Jun 10, 2020",Pnl
"May 28, 2020",Phil Barney / Cookie Dingler / Stars 80
"May 02, 2020",Eva
"Apr 27, 2020",GAUMAR Une nuit à Makala 2020
"Apr 25, 2020",Therapie Taxi / Michel
"Apr 11, 2020",Jain
"Apr 07, 2020",Metronomy
"Apr 03, 2020",Slimane / Vitaa
"Apr 02, 2020",Niska
"Mar 26, 2020",Keen'V
"Mar 13, 2020",Boulevard des Airs
"Mar 10, 2020",Ninho
"Mar 09, 2020",Le Grand Bleu
"Mar 08, 2020",Éric Serra
"Mar 06, 2020",Tri Yann
"Mar 04, 2020",Jean-Louis Aubert
"Mar 03, 2020",The Australian Pink Floyd Show
"Feb 26, 2020",James Blunt Setlists
"Feb 09, 2020",Generation Abba
"Feb 08, 2020",Alain Souchon En concert ici & là Setlists
