Round Number,Date,Location,homeTeam,Away Team,Result
1,09/08/2019 20:45:00,Stade Louis II,AS Monaco,Olympique Lyonnais,0 - 3
1,10/08/2019 17:30:00,Stade Vélodrome,Olympique de Marseille,Stade de Reims,0 - 2
1,10/08/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Girondins de Bordeaux,3 - 1
1,10/08/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,1 - 1
1,10/08/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,AS Saint-Etienne,1 - 2
1,10/08/2019 20:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,0 - 1
1,10/08/2019 20:00:00,Allianz Riviera,OGC Nice,Amiens SC,2 - 1
1,11/08/2019 15:00:00,Stade Pierre-Mauroy,LOSC,FC Nantes,2 - 1
1,11/08/2019 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,1 - 1
1,11/08/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Nîmes Olympique,3 - 0
2,16/08/2019 20:45:00,Groupama Stadium,Olympique Lyonnais,Angers SCO,6 - 0
2,17/08/2019 17:30:00,La Beaujoire-Louis,FC Nantes,Olympique de Marseille,0 - 0
2,17/08/2019 20:00:00,Stade de la Licorne,Amiens SC,LOSC,1 - 0
2,17/08/2019 20:00:00,Matmut Atlantique,Girondins de Bordeaux,Montpellier Hérault SC,1 - 1
2,17/08/2019 20:00:00,Stade Saint-Symphorien,FC Metz,AS Monaco,3 - 0
2,17/08/2019 20:00:00,Stade des Costières,Nîmes Olympique,OGC Nice,1 - 2
2,17/08/2019 20:00:00,Stadium de Toulouse,Toulouse FC,Dijon FCO,1 - 0
2,18/08/2019 15:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Brestois 29,1 - 1
2,18/08/2019 17:00:00,Stade Auguste Delaune,Stade de Reims,RC Strasbourg Alsace,0 - 0
2,18/08/2019 21:00:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,2 - 1
3,24/08/2019 20:00:00,Stade de la Licorne,Amiens SC,FC Nantes,1 - 2
3,24/08/2019 20:00:00,Stade Raymond Kopa,Angers SCO,FC Metz,3 - 0
3,24/08/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,1 - 0
3,24/08/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,Girondins de Bordeaux,0 - 2
3,25/08/2019 15:00:00,Stade Louis II,AS Monaco,Nîmes Olympique,2 - 2
3,25/08/2019 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,0 - 2
3,25/08/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,4 - 0
3,27/08/2019 19:00:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,1 - 0
3,28/08/2019 19:00:00,Stade Pierre-Mauroy,LOSC,AS Saint-Etienne,3 - 0
3,28/08/2019 21:00:00,Allianz Riviera,OGC Nice,Olympique de Marseille,1 - 2
4,30/08/2019 20:45:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,0 - 2
4,31/08/2019 17:30:00,Groupama Stadium,Olympique Lyonnais,Girondins de Bordeaux,1 - 1
4,31/08/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Dijon FCO,2 - 0
4,31/08/2019 20:00:00,La Beaujoire-Louis,FC Nantes,Montpellier Hérault SC,1 - 0
4,31/08/2019 20:00:00,Stade des Costières,Nîmes Olympique,Stade Brestois 29,3 - 0
4,31/08/2019 20:00:00,Stadium de Toulouse,Toulouse FC,Amiens SC,2 - 0
4,01/09/2019 15:00:00,Stade Auguste Delaune,Stade de Reims,LOSC,2 - 0
4,01/09/2019 15:00:00,Roazhon Park,Stade Rennais FC,OGC Nice,1 - 2
4,01/09/2019 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,2 - 2
4,01/09/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,AS Saint-Etienne,1 - 0
5,13/09/2019 19:00:00,Stade Pierre-Mauroy,LOSC,Angers SCO,2 - 1
5,13/09/2019 20:45:00,Stade de la Licorne,Amiens SC,Olympique Lyonnais,2 - 2
5,14/09/2019 17:30:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,1 - 0
5,14/09/2019 20:00:00,Matmut Atlantique,Girondins de Bordeaux,FC Metz,2 - 0
5,14/09/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,0 - 0
5,14/09/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,Nîmes Olympique,0 - 0
5,14/09/2019 20:00:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,2 - 1
5,15/09/2019 15:00:00,La Beaujoire-Louis,FC Nantes,Stade de Reims,1 - 0
5,15/09/2019 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Toulouse FC,2 - 2
5,15/09/2019 21:00:00,Stade Louis II,AS Monaco,Olympique de Marseille,3 - 4
6,20/09/2019 20:45:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,2 - 1
6,21/09/2019 17:30:00,Stade Vélodrome,Olympique de Marseille,Montpellier Hérault SC,1 - 1
6,21/09/2019 20:00:00,Matmut Atlantique,Girondins de Bordeaux,Stade Brestois 29,2 - 2
6,21/09/2019 20:00:00,Stade Saint-Symphorien,FC Metz,Amiens SC,1 - 2
6,21/09/2019 20:00:00,Allianz Riviera,OGC Nice,Dijon FCO,2 - 1
6,21/09/2019 20:00:00,Stade des Costières,Nîmes Olympique,Toulouse FC,1 - 0
6,21/09/2019 20:00:00,Stade Auguste Delaune,Stade de Reims,AS Monaco,0 - 0
6,22/09/2019 15:00:00,Roazhon Park,Stade Rennais FC,LOSC,1 - 1
6,22/09/2019 17:00:00,Stade Raymond Kopa,Angers SCO,AS Saint-Etienne,4 - 1
6,22/09/2019 21:00:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,0 - 1
7,24/09/2019 19:00:00,Stade Gaston Gérard,Dijon FCO,Olympique de Marseille,0 - 0
7,24/09/2019 21:00:00,Stade Louis II,AS Monaco,OGC Nice,3 - 1
7,25/09/2019 19:00:00,Stade de la Licorne,Amiens SC,Girondins de Bordeaux,1 - 3
7,25/09/2019 19:00:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,2 - 2
7,25/09/2019 19:00:00,Stade Pierre-Mauroy,LOSC,RC Strasbourg Alsace,2 - 0
7,25/09/2019 19:00:00,Stade de la Mosson,Montpellier Hérault SC,Nîmes Olympique,1 - 0
7,25/09/2019 19:00:00,La Beaujoire-Louis,FC Nantes,Stade Rennais FC,1 - 0
7,25/09/2019 19:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Metz,0 - 1
7,25/09/2019 19:00:00,Stadium de Toulouse,Toulouse FC,Angers SCO,0 - 2
7,25/09/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,0 - 2
8,28/09/2019 13:30:00,Groupama Stadium,Olympique Lyonnais,FC Nantes,0 - 1
8,28/09/2019 17:30:00,Matmut Atlantique,Girondins de Bordeaux,Paris Saint-Germain,0 - 1
8,28/09/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Amiens SC,1 - 1
8,28/09/2019 20:00:00,Stade Saint-Symphorien,FC Metz,Toulouse FC,2 - 2
8,28/09/2019 20:00:00,Stade Louis II,AS Monaco,Stade Brestois 29,4 - 1
8,28/09/2019 20:00:00,Allianz Riviera,OGC Nice,LOSC,1 - 1
8,28/09/2019 20:00:00,Stade Auguste Delaune,Stade de Reims,Dijon FCO,1 - 2
8,29/09/2019 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,1 - 0
8,29/09/2019 17:00:00,Stade des Costières,Nîmes Olympique,AS Saint-Etienne,0 - 1
8,29/09/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,Stade Rennais FC,1 - 1
9,04/10/2019 20:45:00,Stade de la Licorne,Amiens SC,Olympique de Marseille,3 - 1
9,05/10/2019 17:30:00,Parc des Princes,Paris Saint-Germain,Angers SCO,4 - 0
9,05/10/2019 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,2 - 0
9,05/10/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,RC Strasbourg Alsace,1 - 0
9,05/10/2019 20:00:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,3 - 1
9,05/10/2019 20:00:00,La Beaujoire-Louis,FC Nantes,OGC Nice,1 - 0
9,05/10/2019 20:00:00,Stadium de Toulouse,Toulouse FC,Girondins de Bordeaux,1 - 3
