Round Number,Date,Location,Home Team,Away Team,Result
1,05/08/2022 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AC Ajaccio,2 - 1
1,06/08/2022 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,1 - 2
1,06/08/2022 21:00:00,Stade Gabriel Montpied,Clermont Foot 63,Paris Saint-Germain,0 - 5
1,07/08/2022 13:00:00,Stadium de Toulouse,Toulouse FC,OGC Nice,1 - 1
1,07/08/2022 15:00:00,Stade Raymond Kopa,Angers SCO,FC Nantes,0 - 0
1,07/08/2022 15:00:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,3 - 2
1,07/08/2022 15:00:00,Stade Pierre-Mauroy,LOSC Lille,AJ Auxerre,4 - 1
1,07/08/2022 15:00:00,Stade de la Mosson,Montpellier Hérault SC,ESTAC Troyes,3 - 2
1,07/08/2022 17:05:00,Roazhon Park,Stade Rennais FC,FC Lorient,0 - 1
1,07/08/2022 20:45:00,Stade Vélodrome,Olympique de Marseille,Stade de Reims,4 - 1
2,12/08/2022 21:00:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,1 - 1
2,13/08/2022 17:00:00,Stade Louis II,AS Monaco,Stade Rennais FC,1 - 1
2,13/08/2022 21:00:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,5 - 2
2,14/08/2022 15:00:00,Stade François Coty,AC Ajaccio,RC Lens,0 - 0
2,14/08/2022 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Angers SCO,2 - 2
2,14/08/2022 15:00:00,Stade Auguste-Delaune,Stade de Reims,Clermont Foot 63,2 - 4
2,14/08/2022 15:00:00,Stade de l'Aube,ESTAC Troyes,Toulouse FC,0 - 3
2,14/08/2022 17:05:00,Stade de Nice,OGC Nice,RC Strasbourg Alsace,1 - 1
2,14/08/2022 20:45:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,1 - 1
3,19/08/2022 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,ESTAC Troyes,4 - 1
3,20/08/2022 17:00:00,Stade Louis II,AS Monaco,RC Lens,1 - 4
3,20/08/2022 21:00:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,2 - 1
3,21/08/2022 13:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,1 - 1
3,21/08/2022 15:00:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,1 - 3
3,21/08/2022 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,OGC Nice,1 - 0
3,21/08/2022 15:00:00,Stade de la Mosson,Montpellier Hérault SC,AJ Auxerre,1 - 2
3,21/08/2022 15:00:00,Stadium de Toulouse,Toulouse FC,FC Lorient,2 - 2
3,21/08/2022 17:05:00,Roazhon Park,Stade Rennais FC,AC Ajaccio,2 - 1
3,21/08/2022 20:45:00,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 7
4,26/08/2022 21:00:00,Stade François Coty,AC Ajaccio,LOSC Lille,1 - 3
4,27/08/2022 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Strasbourg Alsace,1 - 0
4,27/08/2022 21:00:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,2 - 1
4,28/08/2022 13:00:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,3 - 1
4,28/08/2022 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,0 - 7
4,28/08/2022 15:00:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,2 - 1
4,28/08/2022 15:00:00,Stade de Nice,OGC Nice,Olympique de Marseille,0 - 3
4,28/08/2022 15:00:00,Stade de l'Aube,ESTAC Troyes,Angers SCO,3 - 1
4,28/08/2022 17:05:00,Stade Auguste-Delaune,Stade de Reims,Olympique Lyonnais,1 - 1
4,28/08/2022 20:45:00,Parc des Princes,Paris Saint-Germain,AS Monaco,1 - 1
5,31/08/2022 19:00:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,2 - 4
5,31/08/2022 19:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AJ Auxerre,2 - 1
5,31/08/2022 19:00:00,Stade Louis II,AS Monaco,ESTAC Troyes,2 - 4
5,31/08/2022 19:00:00,Stade de la Mosson,Montpellier Hérault SC,AC Ajaccio,2 - 0
5,31/08/2022 19:00:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 1
5,31/08/2022 21:00:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,5 - 2
5,31/08/2022 21:00:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,1 - 2
5,31/08/2022 21:00:00,Stade Vélodrome,Olympique de Marseille,Clermont Foot 63,1 - 0
5,31/08/2022 21:00:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,3 - 1
5,31/08/2022 21:00:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,0 - 3
6,03/09/2022 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,0 - 2
6,03/09/2022 19:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Angers SCO,5 - 0
6,03/09/2022 21:00:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 3
6,04/09/2022 13:00:00,Stade de la Mosson,Montpellier Hérault SC,LOSC Lille,1 - 3
6,04/09/2022 15:00:00,Stade François Coty,AC Ajaccio,FC Lorient,0 - 1
6,04/09/2022 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,1 - 1
6,04/09/2022 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Toulouse FC,2 - 0
6,04/09/2022 15:00:00,Stade Auguste-Delaune,Stade de Reims,RC Lens,1 - 1
6,04/09/2022 17:05:00,Stade de l'Aube,ESTAC Troyes,Stade Rennais FC,1 - 1
6,04/09/2022 20:45:00,Stade de Nice,OGC Nice,AS Monaco,0 - 1
6,07/09/2022 19:00:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,3 - 1
7,09/09/2022 21:00:00,Stade Bollaert-Delelis,RC Lens,ESTAC Troyes,1 - 0
7,10/09/2022 17:00:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,1 - 0
7,10/09/2022 21:00:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,2 - 1
7,11/09/2022 13:00:00,Stade de la Meinau,RC Strasbourg Alsace,Clermont Foot 63,0 - 0
7,11/09/2022 15:00:00,Stade François Coty,AC Ajaccio,OGC Nice,0 - 1
7,11/09/2022 15:00:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,2 - 1
7,11/09/2022 15:00:00,Stade du Moustoir,FC Lorient,FC Nantes,3 - 2
7,11/09/2022 15:00:00,Stadium de Toulouse,Toulouse FC,Stade de Reims,1 - 0
7,11/09/2022 17:05:00,Roazhon Park,Stade Rennais FC,AJ Auxerre,5 - 0
7,11/09/2022 20:45:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 1
8,16/09/2022 21:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Lorient,1 - 3
8,17/09/2022 17:00:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,2 - 1
