N°,Date,Opposition,Pour,Contre,Résultat,Lieu,Compétition,Colonne 1
744,3 fév. 2018,Drapeau : Irlande Irlande,13,15,Défaite,"Stade de France , Saint-Denis",Tournoi des Six Nations,
745,11 fév. 2018,Écosse,26,32,Défaite,"Murrayfield Stadium , Édimbourg",Tournoi des Six Nations,
746,23 fév. 2018,Italie,34,17,Victoire,"Orange Vélodrome , Marseille",Tournoi des Six Nations,
747,10 mars 2018,Angleterre,22,16,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
748,17 mars 2018,Pays de Galles,13,14,Défaite,"Principality Stadium , Cardiff",Tournoi des Six Nations,
749,9 juin 2018,Nouvelle-Zélande,11,52,Défaite,"Eden Park , Auckland",Test match,
750,16 juin 2018,Nouvelle-Zélande,13,26,Défaite,"Westpac Stadium , Wellington",Test match,
751,23 juin 2018,Nouvelle-Zélande,14,49,Défaite,"Forsyth Barr Stadium , Dunedin",Test match,
752,10 nov. 2018,Drapeau d'Afrique du Sud Afrique du Sud,26,29,Défaite,"Stade de France , Saint-Denis",Test match,
753,17 nov. 2018,Argentine,28,13,Victoire,"Stade Pierre-Mauroy , Villeneuve-d'Ascq",Test match,
754,24 nov. 2018,Fidji,14,21,Défaite,"Stade de France , Saint-Denis",Test match,
755,1 er fév. 2019,Pays de Galles,19,24,Défaite,"Stade de France , Saint-Denis",Tournoi des Six Nations,
756,10 fév. 2019,Angleterre,8,44,Défaite,"Stade de Twickenham , Londres",Tournoi des Six Nations,
757,23 fév. 2019,Écosse,27,10,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
758,10 mars 2019,Drapeau : Irlande Irlande,14,26,Défaite,"Aviva Stadium , Dublin",Tournoi des Six Nations,
759,16 mars 2019,Italie,25,14,Victoire,"Stade olympique , Rome",Tournoi des Six Nations,
760,17 août 2019,Écosse,32,3,Victoire,"Allianz Riviera , Nice",Test match,
761,24 août 2019,Écosse,14,17,Défaite,"Murrayfield Stadium , Édimbourg",Test match,
762,30 août 2019,Italie,47,19,Victoire,"Stade de France , Saint-Denis",Test match,
763,21 sept. 2019,Argentine,23,21,Victoire,"Stade de Tokyo [ Note 4 ] , Tokyo",Coupe du monde - phase de poules,
764,2 oct. 2019,États-Unis,33,9,Victoire,"Fukuoka Hakatanomori Stadium [ Note 4 ] , Fukuoka",Coupe du monde - phase de poules,
765,6 oct. 2019,Tonga,23,21,Victoire,"Stade de Kumamoto [ Note 4 ] , Kumamoto",Coupe du monde - phase de poules,
766,20 oct. 2019,Pays de Galles,19,20,Défaite,"Stade d'Oita , Ōita",Coupe du monde - quart de finale,
767,2 fév. 2020,Angleterre,24,17,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
768,9 fév. 2020,Italie,35,22,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
769,22 fév. 2020,Pays de Galles,27,23,Victoire,"Principality Stadium , Cardiff",Tournoi des Six Nations,
770,8 mars 2020,Drapeau de l'Écosse Écosse,17,28,Défaite,"Murrayfield Stadium , Édimbourg",Tournoi des Six Nations,
771,24 oct. 2020,Drapeau du pays de Galles Pays de Galles,38,21,Victoire,"Stade de France , Saint-Denis",Test match,
772,31 oct. 2020,Drapeau : Irlande Irlande,35,27,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
773,22 nov. 2020,Drapeau de l'Écosse Écosse,22,15,Victoire,"Murrayfield Stadium , Édimbourg",Coupe d'automne des nations - phase de poules,
774,28 nov. 2020,Drapeau de l'Italie Italie,36,5,Victoire,"Stade de France , Saint-Denis",Coupe d'automne des nations - phase de poules,
775,6 déc. 2020,Drapeau de l'Angleterre Angleterre,19,22,Défaite a. p.,"Stade de Twickenham , Londres",Coupe d'automne des nations - finale,
776,6 fév. 2021,Italie,50,10,Victoire,"Stade olympique , Rome",Tournoi des Six Nations,
777,14 fév. 2021,Drapeau : Irlande Irlande,15,13,Victoire,"Aviva Stadium , Dublin",Tournoi des Six Nations,
778,13 mars 2021,Angleterre,20,23,Défaite,"Stade de Twickenham , Londres",Tournoi des Six Nations,
779,20 mars 2021,Pays de Galles,32,30,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
780,26 mars 2021,Écosse,23,27,Défaite,"Stade de France , Saint-Denis",Tournoi des Six Nations,
781,7 juill. 2021,Australie,21,23,Défaite,"Suncorp Stadium , Brisbane",Test match,
782,13 juill. 2021,Australie,28,26,Victoire,"AAMI Park , Melbourne",Test match,
783,17 juill. 2021,Australie,30,33,Défaite,"Suncorp Stadium , Brisbane",Test match,
784,6 nov. 2021,Argentine,29,20,Victoire,"Stade de France , Saint-Denis",Test match,
785,14 nov. 2021,Géorgie,41,15,Victoire,"Matmut Atlantique , Bordeaux",Test match,
786,20 nov. 2021,Nouvelle-Zélande,40,25,Victoire,"Stade de France , Saint-Denis",Test match,
787,6 fév. 2022,Italie,37,10,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
788,12 fév. 2022,Drapeau : Irlande Irlande,30,24,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
789,26 fév. 2022,Écosse,36,17,Victoire,"Murrayfield Stadium , Édimbourg",Tournoi des Six Nations,
790,11 mars 2022,Pays de Galles,13,9,Victoire,"Principality Stadium , Cardiff",Tournoi des Six Nations,
791,19 mars 2022,Angleterre,25,13,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
792,2 juill. 2022,Japon,42,23,Victoire,"Toyota Stadium , Toyota",Test match,
793,9 juill. 2022,Japon,20,15,Victoire,"Stade national , Tokyo",Test match,
794,5 nov. 2022,Australie,30,29,Victoire,"Stade de France , Saint-Denis",Test match,
795,12 nov. 2022,Drapeau d'Afrique du Sud Afrique du Sud,30,26,Victoire,"Stade Vélodrome , Marseille",Test match,
796,20 nov. 2022,Japon,35,17,Victoire,"Stadium , Toulouse",Test match,
797,5 fév. 2023,Italie,29,24,Victoire,"Stade olympique , Rome",Tournoi des Six Nations,
798,11 fév. 2023,Drapeau : Irlande Irlande,19,32,Défaite,"Aviva Stadium , Dublin",Tournoi des Six Nations,
799,26 fév. 2023,Écosse,32,21,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
800,11 mars 2023,Angleterre,53,10,Victoire,"Stade de Twickenham , Londres",Tournoi des Six Nations,
801,18 mars 2023,Pays de Galles,41,28,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
802,5 août 2023,Écosse,21,25,Défaite,"Murrayfield Stadium , Édimbourg",Test match,
803,12 août 2023,Écosse,30,27,Victoire,"Stade Geoffroy-Guichard , Saint-Étienne",Test match,
804,19 août 2023,Fidji,34,17,Victoire,"Stade de La Beaujoire , Nantes",Test match,
805,27 août 2023,Australie,41,17,Victoire,"Stade de France , Saint-Denis",Test match,
806,8 sept. 2023,Nouvelle-Zélande,27,13,Victoire,"Stade de France , Saint-Denis",Coupe du monde - phase de poules,
807,14 sept. 2023,Uruguay,27,12,Victoire,"Stade Pierre-Mauroy , Villeneuve-d'Ascq",Coupe du monde - phase de poules,
808,21 sept. 2023,Namibie,96,0,Victoire,"Stade Vélodrome [ Note 4 ] , Marseille",Coupe du monde - phase de poules,
809,6 oct. 2023,Italie,60,7,Victoire,"Parc OL [ Note 4 ] , Décines-Charpieu",Coupe du monde - phase de poules,
810,15 oct. 2023,Drapeau d'Afrique du Sud Afrique du Sud,28,29,Défaite,"Stade de France , Saint-Denis",Coupe du monde - quart de finale,
811,2 fév. 2024,Drapeau : Irlande Irlande,17,38,Défaite,"Stade Vélodrome , Marseille",Tournoi des Six Nations,
812,10 fév. 2024,Écosse,20,16,Victoire,"Murrayfield Stadium , Édimbourg",Tournoi des Six Nations,
813,25 fév. 2024,Italie,13,13,Nul,"Stade Pierre-Mauroy , Villeneuve-d'Ascq",Tournoi des Six Nations,
814,10 mars 2024,Pays de Galles,45,24,Victoire,"Principality Stadium , Cardiff",Tournoi des Six Nations,
815,16 mars 2024,Angleterre,33,31,Victoire,"Groupama Stadium , Décines-Charpieu",Tournoi des Six Nations,
816,6 juill. 2024,Argentine,28,13,Victoire,"Stade Malvinas-Argentinas , Mendoza",Test match,
817,13 juill. 2024,Argentine,25,33,Défaite,"Stade José-Amalfitani , Buenos Aires",Test match,
818,9 nov. 2024,Japon,52,12,Victoire,"Stade de France , Saint-Denis",Test match,
819,16 nov. 2024,Nouvelle-Zélande,30,29,Victoire,"Stade de France , Saint-Denis",Test match,
820,23 nov. 2024,Argentine,37,23,Victoire,"Stade de France , Saint-Denis",Test match,
821,31 janv. 2025,Pays de Galles,43,0,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
822,8 fév. 2025,Angleterre,25,26,Défaite,"Stade de Twickenham , Londres",Tournoi des Six Nations,
823,23 fév. 2025,Italie,73,24,Victoire,"Stade olympique , Rome",Tournoi des Six Nations,
824,8 mars 2025,Drapeau : Irlande Irlande,42,27,Victoire,"Aviva Stadium , Dublin",Tournoi des Six Nations,
825,15 mars 2025,Écosse,35,16,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
826,5 juill. 2025,Nouvelle-Zélande,27,31,Défaite,"Forsyth Barr Stadium , Dunedin",Test match,
827,12 juill. 2025,Nouvelle-Zélande,17,43,Défaite,"Sky Stadium , Wellington",Test match,
828,19 juill. 2025,Nouvelle-Zélande,19,29,Défaite,"FMG Stadium Waikato , Hamilton",Test match,
829,8 nov. 2025,Drapeau d'Afrique du Sud Afrique du Sud,17,32,Défaite,"Stade de France , Saint-Denis",Test match,
830,15 nov. 2025,Fidji,34,21,Victoire,"Stade Atlantique , Bordeaux",Test match,
831,22 nov. 2025,Australie,48,33,Victoire,"Stade de France , Saint-Denis",Test match,
832,5 fév. 2026,Drapeau : Irlande Irlande,36,14,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
833,15 fév. 2026,Pays de Galles,54,12,Victoire,"Principality Stadium , Cardiff",Tournoi des Six Nations,
834,22 fév. 2026,Italie,33,8,Victoire,"Stade Pierre-Mauroy , Villeneuve-d'Ascq",Tournoi des Six Nations,
835,7 mars 2026,Écosse,40,50,Défaite,"Murrayfield Stadium , Édimbourg",Tournoi des Six Nations,
836,14 mars 2026,Angleterre,48,46,Victoire,"Stade de France , Saint-Denis",Tournoi des Six Nations,
837,4 juill. 2026,Nouvelle-Zélande,,,,"Te Kaha Stadium (en) , Christchurch",Championnat des nations,
838,11 juill. 2026,Australie,,,,"Suncorp Stadium , Brisbane",Championnat des nations,
839,18 juill. 2026,Japon,,,,"Stade national (Japon) , Tokyo",Championnat des nations,
840,8 nov. 2026,Fidji,,,,,Championnat des nations,
841,15 nov. 2026,Drapeau d'Afrique du Sud Afrique du Sud,,,,"Stade de France , Saint-Denis",Championnat des nations,
842,21 nov. 2026,Argentine,,,,"Stade de France , Saint-Denis",Championnat des nations,
