Nom,Importance,Date de début,Date de fin,Durée,Type,Localisation,Description,Valeurs au hasard,,
,Exceptionnel,09/12/2018,09/12/2018,Ponctuel,tempête/coup de vent,Corse,Une vigilance Rouge concerne la Corse pour vent violent.,158 km/h (rafales) à Conca (2A) le 09/12/2018 186 km/h (rafales) à Cap Corse (2B) le 09/12/2018 136 km/h (rafales) à Solenzara (2A) le 09/12/2018 175 km/h (rafales) à Capo Sagro (2B) le 09/12/2018 134 km/h (rafales) à Capo Pertusato (France) le 09/12/2018 et 2 autres valeurs...,,
Très forte rafale à Caen,Notable,07/12/2018,07/12/2018,Ponctuel,tempête/coup de vent,Basse-Normandie,"Une très forte rafale de 144.5 km/h a été mesurée à l'aéroport de Caen au passage d'une ligne de grain peu avant midi. Cette valeur est la deuxième plus forte rafale enregistrée depuis le début des mesures en 1944, derrière les 151 km/h du 26 décembre 1999.",144.5 km/h (rafales) à Caen (14) le 07/12/2018,,
Episode méditerranéen,Notable,31/10/2018,31/10/2018,Ponctuel,épisode pluvieux tempête/coup de vent orages tornade,"Languedoc-Roussillon, PACA","Episode méditerranéen d'importance moindre que celui de l'avant-veille malgré les sols déjà gorgés d'eau, avec des précipitations moins abondantes et surtout moins concentrées dans le temps. Néanmoins le Languedoc, le Gard et le Var ont été traversés par des lignes orageuses dès l'après-midi avec de très fortes averses et des chutes de grêle notamment à Nîmes. Une tornade modérée frappe le hameau d'Auzon à Allègres-les-Fumades, classée EF0 par Météo-Languedoc. 6 toitures sont endommagées et du mobilier de jardin et autres objets sont projetés à distance, le long d'un trajet de quelques dizaine de mètres environ. Pas de blessés.",135 km/h (rafales) à Marignane (13) le 31/10/2018,,
Tempête Adrian et épisode tornadique en Corse,Exceptionnel,29/10/2018,29/10/2018,Ponctuel,tempête/coup de vent orages tornade,"Corse, PACA","Le passage de la tempête Adrian dans un contexte déjà instable donne lieu à un épisode méditerranéen sur la portion Est du littoral, qui a pris un caractère exceptionnel en Corse (placée en vigilance rouge), avec cumuls très importants, vents violents et phénomènes convectifs isolés. Deux tornades sont recensées, l'une à Porto Vecchio , où une trombe marine est également observée, et l'autre à Aléria, classée EF1. A Tanneron dans le Var, une autre tornade se déclare vers 10h du matin et endommage une douzaine d'habitations. Elle aurait également fait des dégâts sur plusieurs autres communes dans les Alpes Maritimes, mais le lien n'est pas formellement établi, il peut s'agir de phénomènes distincts.",112 km/h (rafales) à Sartène (2A) le 29/10/2018 148 km/h (rafales) à Ajaccio (2A) le 29/10/2018 163 km/h (rafales) à Cagnano (2B) le 29/10/2018 188 km/h (rafales) à Cap Corse (2B) le 29/10/2018 188 km/h (rafales) à Île Rousse (France) le 29/10/2018 et 2 autres valeurs...,,
Episode venteux sur le N et NE du pays ,Notable,23/09/2018,23/09/2018,Ponctuel,tempête/coup de vent orages,"Alsace, Bourgogne, Champagne-Ardenne, Franche-Comté, Lorraine, Nord-Pas-de-Calais, Picardie","Des vents tempétueux et des orages accompagnent l'arrivée d'un front froid sur les régions du nord et du NE du pays. La Picardie, la Champagne-Ardenne et l'Alsace-Lorraine sont notamment touchées, ainsi que le nord de la Bourgogne et le NPDC. Un centre équestre est brutalement frappé en Picardie à Essertaux. Dans la Somme, Ablaincourt-Pressoir, Ham et Pérone et plusieurs autres localités sont sinistrées, ainsi que Phillippsbourg en Lorraine. On relève jusqu'à 114 km/h à Douzy (08) et 135 km/h sur le relief des Vosges.",103 km/h (rafales) à Bienville (60) le 23/09/2018 97 km/h (rafales) à Luxeuil-les-Bains (70) le 23/09/2018 107 km/h (rafales) à Fontaine-lès-Vervins (02) le 23/09/2018 93 km/h (rafales) à Chouilly (51) le 23/09/2018 92 km/h (rafales) à Septsarges (55) le 23/09/2018 et 8 autres valeurs...,,
Orages,Notable,07/08/2018,08/08/2018,Ponctuel,épisode pluvieux tempête/coup de vent orages,"Alsace, Auvergne, Bourgogne, Centre, Champagne-Ardenne, Franche-Comté, Île-de-France, Languedoc-Roussillon, Lorraine, Basse-Normandie, Haute-Normandie, Pays de la Loire, Picardie, Poitou-Charentes","Après une vague de chaleur qui a persisté durant plus de 10 jours, une importante dégradation orageuse s'est mise en place en soirée du 07/08/2018 générant de forts cumuls et des rafales modérées à fortes.",68.4 km/h (rafales) à Rivesaltes (66) le 07/08/2018 20 mm (en 24h) à Blacé (69) le 08/08/2018 61.2 km/h (rafales) à Paris (75) le 07/08/2018 75.6 km/h (rafales) à Évreux (27) le 07/08/2018 97.2 km/h (rafales) à Rouen (76) le 07/08/2018 et 30 autres valeurs...,,
,Remarquable,30/06/2018,05/07/2018,Plusieurs jours (6 jours),épisode pluvieux tempête/coup de vent orages,Toute la France,,81 km/h (rafales) à Mauvezin-sur-Gupie (47) le 01/07/2018 57.3 mm (en 24h) à Bourganeuf (23) le 04/07/2018 33°C (Tx) à Azé (71) le 03/07/2018 31.4 mm (en 24h) à Montrieux-en-Sologne (41) le 05/07/2018 85 km/h (rafales) à Belin-Béliet (33) le 04/07/2018 et 182 autres valeurs...,,
,Exceptionnel,16/01/2018,17/01/2018,Ponctuel,tempête/coup de vent,Corse,On relève jusqu'à 225.4 km/h au Cap Corse ! Il s'agit du record absolu !,198 km/h (rafales) à Capo Sagro (2B) le 16/01/2018 225.4 km/h (rafales) à Cap Corse (2B) le 16/01/2018,,
Tempête Eleanor,Remarquable,03/01/2018,03/01/2018,Ponctuel,tempête/coup de vent orages,"Alsace, Auvergne, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comté, Île-de-France, Languedoc-Roussillon, Lorraine, Midi-Pyrénées, Nord-Pas-de-Calais, Basse-Normandie, Haute-Normandie, Pays de la Loire, Picardie, PACA, Rhône-Alpes","Après la tempête Carmen qui a balayée la France quelques heures plus tôt, une deuxième tempête nommée Eleanor va traverser le Nord de la France apportant une forte submersion sur les littoraux manchois et breton, ainsi que de forts vents dans les terres. De nombreuses localités ont également été sinistrées par de violentes rafales convectives dont Solre-le-Château, Quérénaing et Epinoy dans les Hauts-de-France.",110.2 km/h (rafales) à Sibiril (29) le 03/01/2018 99 km/h (rafales) à Bouy-sur-Orvin (10) le 03/01/2018 98.3 km/h (rafales) à Plovan (29) le 03/01/2018 93.2 km/h (rafales) à Seingbouse (57) le 03/01/2018 135 km/h (rafales) à Cap Gris-Nez (France) le 03/01/2018 et 348 autres valeurs...,,
Tempête Carmen et trois tornades,Notable,01/01/2018,01/01/2018,Ponctuel,tempête/coup de vent orages tornade,"Aquitaine, Bretagne, Centre, Midi-Pyrénées, Poitou-Charentes","Une faible tempête concerne le France en ce premier jour de l'année 2018. Si la tempête a été moins intense que prévu, par contre de fortes rafales sont observées sous orage en de nombreux endroits dont Saint-Paul-Mont-Pénit, Brandivy, Bastia... ainsi que 3 tornades avérées d'intensité significative, l'une à Lathus Saint-Remy (86, probable F0/T1 : un trempoline envolé, toiture de l'école partiellement arrachée, arbres tombés sur des voies de circulation, vitres de véranda brisées...), la deuxième à Aize (nord de l'Indre, intensité F2 d'après l'enquête de Météo-Centre : nombreux arbres cassés ou déracinés, plusieurs dizaines de maisons endommagées, deux toitures intégralement arrachées...), et la troisième à Macau (nord Gironde, F1 : trois entreprises gravement sinistrées à Macau et une toiture entièrement arrachée à Ludon), voir entrée séparée. Un autre cas à Bouin (Vendée)  relèverait plutôt d'un autre type de phénomène.",,,
