index_original,Jour_Incident,Cause_Incident,Nb_TGV_Impactes,Minutes_Retard_Cumulees,Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)"
1,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,17,Présence d’une personne dans les voies à Ste Luce,11,212,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
1,26,Heurt d’une personne au niveau de Tiercé,44,1578,2018-01,National,LE MANS,PARIS MONTPARNASSE,56,406,1,,213,8.479968701,4.567119342,,105,18.04904762,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333
6,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,257,184,0,,23,11.22173913,1.193931159,,26,40.11666667,7.510507246,26,7.510507246,12,3,59.09090909,22.72727273,4.545454545,9.090909091,4.545454545,0.0
